Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,United States-Total
1980,      17320,       1919,      17673,       7656,     210290,      15215,      12768,       2824,      12772,      94095,      29993,       2889,       2957,      91753,      20633,       5826,       9168,       9711,      27926,       2173,      35735,      34444,      59014,       9250,       8588,      27177,       1740,       3512,       7304,       1653,      44373,       7967,     180235,      26589,         352,      53646,      12589,      12802,      43032,       3864,      20225,         873,      20824,      77978,       4425,         914,      16355,      19098,       3547,       8546,       1841,   1344520
1981,      18423,       2537,      16082,       7119,     208485,      15755,      14033,       3044,      14468,      98109,      30527,       2424,       2717,      90781,      18672,       5915,       8796,      10599,      27478,       2214,      37800,      36273,      59058,       9344,       7706,      26675,       2004,       2861,       7575,       1375,      46674,       8913,     188178,      25986,         444,      53509,      13223,      12671,      44104,       4205,      20275,         718,      19019,      78560,       4527,         659,      17456,      18839,       3410,       8904,       2116,   1361820
1982,      17653,       2732,      14785,       7438,     201429,      15354,      12597,       3370,      13397,      93411,      26963,       2542,       2501,      88644,      16444,       5018,       8088,      11550,      29185,       1847,      36254,      33031,      59806,       9062,       7515,      25078,       1801,       3641,       7096,       1187,      45175,       9982,     174833,      26865,         414,      47126,      14103,      12529,      42767,       3849,      23061,         684,      19586,      88178,       4440,         655,      16970,      17251,       3405,       9077,       1527,   1322390
1983,      16471,       2940,      14642,       6930,     194491,      14955,      11767,       2746,      11933,      88292,      26179,       2579,       2361,      83629,      15547,       5262,       7919,      11967,      28444,       1829,      34736,      33264,      64993,       7909,       7255,      23718,       1737,       3477,       5838,       1200,      41304,       9608,     161489,      24911,         365,      42759,      13964,      12986,      40782,       3392,      20133,         840,      18836,      80546,       4144,         696,      16236,      15986,       3375,       9070,       1219,   1258087
1984,      17204,       3108,      15756,       7549,     195589,      14548,      12422,       2671,      10725,      95270,      27935,       2409,       2355,      83441,      16781,       5781,       8147,      10342,      30251,       1832,      34455,      30362,      68979,       8802,       7326,      23071,       1958,       3627,       5726,       1308,      39659,       9798,     162157,      24885,         368,      41430,      13438,      13533,      38154,       3220,      20607,       1041,      21010,      80737,       4035,         769,      16660,      17676,       3283,       9367,       1237,   1273282
1985,      18398,       3031,      19202,       8199,     201763,      15219,      12758,       2695,      10171,     106971,      30311,       2313,       2360,      82448,      17014,       6106,       8716,      11384,      31108,       1950,      36655,      31334,      66714,      10751,       7079,      25321,       1722,       3821,       6244,       1405,      41172,      10207,     165365,      26327,         322,      41000,      13930,      14807,      39240,       3355,      21121,         967,      22592,      90030,       4398,         790,      16813,      18757,       3214,       9880,       1307,   1327767
1986,      22616,       3046,      21835,       9365,     248370,      17105,      13578,       2703,       9423,     121013,      35869,       2604,       2232,      93454,      16937,       6703,       9076,      12467,      34128,       1726,      37177,      32476,      73517,      11991,       7196,      29310,       1289,       4196,       6923,       1433,      43623,      10731,     175210,      30128,         348,      45260,      14423,      14830,      42629,       3271,      22789,         883,      25919,     109925,       4441,         807,      17708,      19505,       3156,      12339,       1486,   1489169
1987,      22833,       2391,      20742,       9839,     253943,      15409,      13455,       2774,      10016,     123168,      35868,       2851,       2138,      92216,      18169,       6553,       8932,      12589,      30916,       1806,      34820,      33060,      71772,      12118,       7081,      27792,       1223,       4004,       7006,       1581,      41507,       9427,     179691,      31039,         382,      45436,      13664,      14697,      44087,       3547,      22773,         849,      25900,     105961,       3861,         748,      17414,      19945,       2605,      12014,       1387,   1483999
1988,      23052,       2682,      21147,      10237,     261912,      15548,      14759,       2981,      11914,     138343,      42589,       2810,       2345,      93557,      21187,       7279,       9083,      12284,      31711,       1898,      37466,      36376,      68980,      12490,       8544,      28393,         989,       4374,       8275,       1622,      44993,       9938,     196396,      32753,         392,      49144,      14179,      14959,      43534,       3947,      25889,         813,      26205,     109499,       4110,         791,      17940,      21543,       2476,      10414,       1479,   1566221
1989,      24329,       2623,      21320,      11397,     284136,      15636,      16576,       3745,      12937,     140575,      47357,       3004,       2582,      98611,      22735,       7563,      10073,      13302,      34257,       1676,      40152,      39912,      65760,      12549,       8156,      32634,         935,       4503,       6947,       1865,      47111,      10755,     203042,      35902,         417,      51109,      15847,      14625,      45586,       3772,      28576,         969,      27118,     111889,       4417,         753,      19057,      22460,       2724,      10834,       1227,   1646037
1990,      28630,       2885,      23911,      12511,     311051,      17328,      18201,       4365,      14919,     160990,      48996,       3113,       2776,     110575,      26275,       8321,      11093,      14386,      37914,       1759,      43940,      44300,      73468,      13392,       8758,      36602,       1273,       5209,       7222,       1459,      50057,      11821,     212458,      41332,         472,      54904,      17222,      14405,      51213,       4334,      34050,       1133,      32698,     129343,       4892,         716,      21694,      24410,       3036,      12948,       1367,   1820127
1991,      34518,       3499,      25152,      14072,     331122,      18887,      17761,       4857,      14671,     157243,      48894,       2744,       3016,     119955,      28349,       8477,      12465,      16262,      40438,       1631,      46469,      44138,      75232,      14006,      10085,      39358,       1130,       5330,       8693,       1318,      49257,      12922,     210184,      44355,         415,      61460,      18533,      14795,      53824,       4638,      34621,       1281,      35955,     145743,       5077,         662,      23459,      26224,       3440,      13723,       1427,   1911767
