name,edu_per_capita,inc_per_capita
AL,8813,17285,
AK,16674,,500,
AZ,7666,24805,
AR,9353,24391,
CA,9139,47421,
CO,8724,30374,
CT,15600,50262,
DE,12685,32967,
DC,18475,,56,
FL,8887,20553,
GA,9253,21039,
HI,12004,,453,
ID,6824,19545,
IL,10774,38268,
IN,9370,14823,
IA,9807,32925,
KS,9498,18207,
KY,9309,14603,
LA,10723,17486,
ME,11438,46404,
MD,13871,38383,
MA,13941,,201,
MI,10823,28117,
MN,10712,41364,212,1937,/
MS,7928,,503,1742,611
MO,9410,22350,487,2556,587
MT,10639,30227,433,3569,846
NE,10825,35950,290,2418,739
NV,8527,20656,627,2916,621
NH,13224,34080,289,2666,1063
NJ,15968,54865,190,2352,630
NM,9070,,,,
NY,19076,60076,174,1627,778
NC,8312,29965,320,1727,/
ND,11420,39271,267,2683,848
OH,11223,25814,344,2196,613
OK,7587,18467,740,3252,832
OR,9682,,502,2930,573
PA,13467,42339,305,2792,1714
RI,13815,49133,191,1838,631
SC,8986,,415,1856,476
SD,8805,,470,4710,/
TN,8242,,487,2006,561
TX,8671,21390,667,3162,830
UT,6212,29349,392,3588,838
VT,15925,49502,304,3797,/
VA,10364,25129,396,2331,487
WA,9483,46897,393,2522,527
WV,11846,26498,392,2188,211
WI,11774,37994,415,4416,/
WY,15849,,,,
